UtilityKey,Company,UltimatePa,TotalRetai,TotalRet01,TotalRet02,AvgRevPerU,AvgUltCust,AvgResiden,AvgCommeri,AvgIndustr,UtilitySta,layer,path
4058703,Benton Rural Electric Association,,44625,15685,610723,2845.07,7.31,8.67,6.56,6.33,WA,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4059099,"Central Electric Cooperative, Inc.",,69594,37217,805786,1869.95,8.64,9.12,8.03,6.77,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4059348,"Columbia Basin Electric Cooperative, Inc.",,0,0,0,0,0,0,0,0,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4059363,Columbia Power Cooperative Association Inc.,,0,0,0,0,0,0,0,0,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4061721,Nespelem Valley Electric Cooperative Inc,,0,0,0,0,0,0,0,0,WA,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4062075,Oregon Trail Electric Cooperative,,59154,31574,687693,1873.5,8.6,10.06,8.38,6.06,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4063283,Surprise Valley Electrification Corp.,,14812,6715,160111,2205.81,9.25,9.97,10.46,8.6,NV,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4063283,Surprise Valley Electrification Corp.,,14812,6715,160111,2205.81,9.25,9.97,10.46,8.6,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4063567,"Umatilla Electric Cooperative, Inc.",,402306,16267,5880300,24731.42,6.84,9.08,6.82,6.77,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4060411,Harney Electric Cooperative Inc,,0,0,0,0,0,0,0,0,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4093620,Kauai Island Utility Cooperative,,175068,35024,458054,4998.52,38.22,39.31,39.56,35.78,HI,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
4059437,"Coos-Curry Electric Cooperative, Inc.",,39557,18421,338166,2147.39,11.7,12.64,11.41,8.97,OR,Electric Territory Cooperative,/Users/bill/Local/Sanya/Electric Territory Cooperative (1)/|layername=Electric Territory Cooperative
